uuid|_user|_when|theme|datatype|text|ConversationId|User
id_71|francois-xavier@lajavaness.com|2020-03-24 17:37:41|PROD|text|Quel est le numéro du dépannage Producteurs ?|IWGfxy2KZBYlGqsvTwdTF|J14674
id_72|francois-xavier@lajavaness.com|2020-03-24 17:37:48|TAG1|text|tu es trop mignon|IWGfxy2KZBYlGqsvTwdTF|J14674
id_19|pierre@lajavaness.com|2020-03-24 17:48:41|AGGRESSIVE|text|gros con|AoA47gfcJPdIW94a0rX3Qk|igoffin
id_75|pierre@lajavaness.com|2020-03-24 17:48:45|CAD|text|numéro de tél du dépannage|7UuOOrIQMKQBfA7v64l0om|G32045
id_76|pierre@lajavaness.com|2020-03-24 17:48:46|CAD|text|Quel est le numéro du dépannage Electricité ?|7UuOOrIQMKQBfA7v64l0om|G32045
id_77|pierre@lajavaness.com|2020-03-24 17:49:11|RACCO|text|COUT D'UNE EXTENSION|5XTIgyu911CHs7F8Oombvk|D99450
id_78|pierre@lajavaness.com|2020-03-24 17:49:13|RACCO|text|combien coute une extension de réseau de 100 mètres|5XTIgyu911CHs7F8Oombvk|D99450
id_79|pierre@lajavaness.com|2020-03-24 17:49:16|JSP|text|cout d'une liaison b|5XTIgyu911CHs7F8Oombvk|D99450
id_80|pierre@lajavaness.com|2020-03-24 17:49:18|JSP|text|combien coute une liaison b|5XTIgyu911CHs7F8Oombvk|D99450
id_81|pierre@lajavaness.com|2020-03-24 17:49:20|AGGRESSIVE|text|t'es moche|5XTIgyu911CHs7F8Oombvk|D99450
id_82|pierre@lajavaness.com|2020-03-24 17:49:44|JSP|text|definition d'un CU|5XTIgyu911CHs7F8Oombvk|D99450
id_83|pierre@lajavaness.com|2020-03-24 17:50:34|JSP|text|delai de réponse pour un CU|5XTIgyu911CHs7F8Oombvk|D99450
id_84|pierre@lajavaness.com|2020-03-24 17:51:41|JSP|text|Pouvez vous me dire à quelle moment fournir le consuel|DRP7dPg9QRS1u0oFKNOyDY|F75070
id_85|pierre@lajavaness.com|2020-03-24 17:51:46|PHATIQUE|text|allo|DRP7dPg9QRS1u0oFKNOyDY|F75070
id_86|pierre@lajavaness.com|2020-03-24 17:51:49|JSP|text|le consuel|DRP7dPg9QRS1u0oFKNOyDY|F75070
id_87|pierre@lajavaness.com|2020-03-24 17:52:21|RACCO|text|A quoi sert le certificat de conformité ?|DRP7dPg9QRS1u0oFKNOyDY|F75070
id_88|pierre@lajavaness.com|2020-03-24 17:52:26|SUPPRIMER|text|tu es parfait|DRP7dPg9QRS1u0oFKNOyDY|F75070
id_89|pierre@lajavaness.com|2020-03-24 17:52:39|RACCO|text|ou faire une demande de protection de chantier|DRP7dPg9QRS1u0oFKNOyDY|F75070
id_90|pierre@lajavaness.com|2020-03-24 17:53:41|JSP|text|pr36|B6vF5PbQPXeIUF6pImvSMh|E85203
id_91|pierre@lajavaness.com|2020-03-24 17:53:43|JSP|text|alvin|B6vF5PbQPXeIUF6pImvSMh|E85203
id_92|pierre@lajavaness.com|2020-03-24 17:53:45|JSP|text|ccu|B6vF5PbQPXeIUF6pImvSMh|E85203
id_93|pierre@lajavaness.com|2020-03-24 17:53:48|PROD|text|C'est quoi un petit producteur|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_94|pierre@lajavaness.com|2020-03-24 17:53:50|JSP|text|C'est cool|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_95|pierre@lajavaness.com|2020-03-24 17:53:54|AD|text|c'est quoi E|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_96|pierre@lajavaness.com|2020-03-24 17:53:58|PROD|text|comment revendre du surplus|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_97|pierre@lajavaness.com|2020-03-24 17:54:00|PROD|text|prix de rachat surplus|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_98|pierre@lajavaness.com|2020-03-24 17:54:07|PROD|text|Comment un client peut-il connaître son prix de rachat ?|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_99|pierre@lajavaness.com|2020-03-24 17:54:16|RACCO PROD|text|comment faire une demande de raccordement producteur|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_100|pierre@lajavaness.com|2020-03-24 17:54:42|JSP|text|qur signifie PP|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_101|pierre@lajavaness.com|2020-03-24 17:54:45|PROD|text|Quelle est la définition de Petit Producteur|JXkz6ZnaPWlGOPmMFbahZU|B56557
id_102|pierre@lajavaness.com|2020-03-24 17:54:47|QG|text|quand suis je en congé|5WX5Npuoqx2Blqiz6SaQ4W|A40757
id_103|pierre@lajavaness.com|2020-03-24 17:55:00|RACCO|text|donne moi la liste des codes tarifs|5WX5Npuoqx2Blqiz6SaQ4W|A40757
id_104|pierre@lajavaness.com|2020-03-24 17:55:02|RACCO|text|codes tarif|5WX5Npuoqx2Blqiz6SaQ4W|A40757
id_105|pierre@lajavaness.com|2020-03-24 17:55:03|RACCO|text|puissance de raccordement|5WX5Npuoqx2Blqiz6SaQ4W|A40757
id_106|pierre@lajavaness.com|2020-03-24 18:16:59|RACCO|text|Quelle est la différence entre puissance de raccordement (PR) et puissance souscrite (PS) ?|5WX5Npuoqx2Blqiz6SaQ4W|A40757
id_964|pierre@lajavaness.com|2020-03-24 18:17:02|LINKY|text|données linky|F23HhLKfKGf7MMIhgRiQZx-g|A55577
id_965|pierre@lajavaness.com|2020-03-24 18:17:04|LINKY|text|le client souhaite avoir accès aux informations de son compteur linky|F23HhLKfKGf7MMIhgRiQZx-g|A55577
id_966|pierre@lajavaness.com|2020-03-24 18:17:06|LINKY|text|Comment faire pour avoir de la documentation sur le compteur Linky ?|F23HhLKfKGf7MMIhgRiQZx-g|A55577
id_967|pierre@lajavaness.com|2020-03-24 18:17:09|AUTRE|text|application socrac|F23HhLKfKGf7MMIhgRiQZx-g|A55577
id_968|pierre@lajavaness.com|2020-03-24 18:17:13|PHATIQUE|text|non merci|F23HhLKfKGf7MMIhgRiQZx-g|A55577
id_969|pierre@lajavaness.com|2020-03-24 18:17:18|AUTRE|text|présentation E|F23HhLKfKGf7MMIhgRiQZx-g|A55577
id_970|pierre@lajavaness.com|2020-03-24 18:29:27|QG|text|Quelle est la définition de E|F23HhLKfKGf7MMIhgRiQZx-g|A55577
id_971|pierre@lajavaness.com|2020-03-24 18:29:29|QG|text|historique E|F23HhLKfKGf7MMIhgRiQZx-g|A55577
id_1684|pierre@lajavaness.com|2020-03-25 08:35:31|RACCO|text|largeur gaine domaine prive|D502cfW3OkUFYrEW2PpJUi-g|C84375AA
id_1686|pierre@lajavaness.com|2020-03-25 08:35:33|RACCO|text|quelle est le diametre de la gaine en domaine privé|D502cfW3OkUFYrEW2PpJUi-g|C84375AA
id_1346|pierre@lajavaness.com|2020-03-25 08:35:48|RACCO|text|Le coffret de branchement est -il founi par le client ?|GRa9NeGCE3u9Ktv19GU7m5-g|H46477
id_1685|jindun@lajavaness.com|2020-03-25 08:35:58|RACCO|text|diametre gaine domaine prive|D502cfW3OkUFYrEW2PpJUi-g|C84375AA
id_1347|pierre@lajavaness.com|2020-03-25 08:36:02|RACCO|text|Le client peut-il poser un coffret ?|GRa9NeGCE3u9Ktv19GU7m5-g|H46477
id_2660|pierre@lajavaness.com|2020-03-25 08:36:03|RACCO|text|qu'elle est la dimension du coffret ? |GRksTHjdlVsCFN9sbQLjEU-o|D75578
id_2661|pierre@lajavaness.com|2020-03-25 08:36:07|PHATIQUE|text|MERCI |GRksTHjdlVsCFN9sbQLjEU-o|D75578
id_2662|pierre@lajavaness.com|2020-03-25 08:36:11|PHATIQUE|text|T'es gentil|GRksTHjdlVsCFN9sbQLjEU-o|D75578
id_473|pierre@lajavaness.com|2020-03-25 08:36:23|PROD|text|Quelle est la définition de autoconsommation|BR9XnVVlX3Q9gGEjBUQksb|C10256
id_2600|pierre@lajavaness.com|2020-03-25 08:37:48|RACCO|text|taille coffret tri|ER4tbvYxIjY8OQUF1nZYiZ-5|J05717
id_2601|pierre@lajavaness.com|2020-03-25 08:38:07|RACCO|text|Quelles sont les dimensions d'une borne tri CIBE Type 1 ?|ER4tbvYxIjY8OQUF1nZYiZ-5|J05717
id_2910|pierre@lajavaness.com|2020-03-25 08:38:08|RACCO|text|raccordement ?|EPM9PROiywc9NECnDT0j5z-a|admin
id_2626|pierre@lajavaness.com|2020-03-25 08:38:13|RACCO|text|quelles sont les conditions pour faire la mise en service du compteur ?|23dZDy4F0WuUTAxyAeghA-o|H35779
id_2627|pierre@lajavaness.com|2020-03-25 08:38:15|RACCO|text|quelles sont les conditions pour faire la mise en service raccordement|23dZDy4F0WuUTAxyAeghA-o|H35779
id_2628|pierre@lajavaness.com|2020-03-25 08:38:16|RACCO|text|mise en service raccordement|23dZDy4F0WuUTAxyAeghA-o|H35779
id_2629|pierre@lajavaness.com|2020-03-25 08:38:17|RACCO|text|mise en service branchement|23dZDy4F0WuUTAxyAeghA-o|H35779
id_2630|pierre@lajavaness.com|2020-03-25 08:38:47|RACCO|text|quel fourreau s'il transite par un sous-sol ?|23dZDy4F0WuUTAxyAeghA-o|H35779
id_2631|pierre@lajavaness.com|2020-03-25 08:38:48|RACCO|text|fourreau utilisé|23dZDy4F0WuUTAxyAeghA-o|H35779
id_2632|pierre@lajavaness.com|2020-03-25 08:38:50|RACCO|text|type de gaine|23dZDy4F0WuUTAxyAeghA-o|H35779
id_2633|pierre@lajavaness.com|2020-03-25 08:46:29|AD|text|quel est le nouveau nom du tarif jaune ?|23dZDy4F0WuUTAxyAeghA-o|H35779
id_2634|pierre@lajavaness.com|2020-03-25 08:46:33|JSP|text|dans quel cas utiliser un type 2|23dZDy4F0WuUTAxyAeghA-o|H35779
id_1851|jindun@lajavaness.com|2020-03-25 08:53:52|JSP|text|Quel est le délai de prise en charge d'une demande de modification de branchement ?|80rHvZKCmJJJcEeRG07kIJ-g|G54276
id_2637|jindun@lajavaness.com|2020-03-25 08:54:44|ACH|text|F140|23dZDy4F0WuUTAxyAeghA-o|H35779
id_3015|jindun@lajavaness.com|2020-03-25 08:54:51|SUPPRIMER|text|QFQS|IdD81qKktTPJOxo2CBKpYs-o|D00047
id_3505|jindun@lajavaness.com|2020-03-25 08:54:59|SUPPRIMER|text|qu'est ce que socrac|GBhYBD8XArI8mj6LaYA56j-o|Marie
id_3506|jindun@lajavaness.com|2020-03-25 08:56:38|ACH JSP|text|NFC 14 100|GBhYBD8XArI8mj6LaYA56j-o|Marie
id_1706|jindun@lajavaness.com|2020-03-25 09:01:47|JSP|text|Prix d'une mise en service en express|CHbIXLNVF5UKHlbnyZFxaT-g|B26476
id_1707|jindun@lajavaness.com|2020-03-25 09:01:30|JSP|text|prix d'une première mise en express|CHbIXLNVF5UKHlbnyZFxaT-g|B26476
id_1708|jindun@lajavaness.com|2020-03-25 09:01:35|JSP|text|tarif d'une 1 er mise en service en express|CHbIXLNVF5UKHlbnyZFxaT-g|B26476
id_1709|jindun@lajavaness.com|2020-03-25 09:02:23|RACCO|text|Distance de sécurité d'un câble en aérien par rapport à une maison|CHbIXLNVF5UKHlbnyZFxaT-g|B26476
id_1710|jindun@lajavaness.com|2020-03-25 09:10:11|JSP|text|tarif de déplacement d'un technicien pour une y7|CHbIXLNVF5UKHlbnyZFxaT-g|B26476
id_1711|jindun@lajavaness.com|2020-03-25 09:10:21|RACCO|text|délai des travaux pour un raccordement complet|CHbIXLNVF5UKHlbnyZFxaT-g|B26476
id_2873|jindun@lajavaness.com|2020-03-25 09:11:06|RACCO|text|quel service contacté pour les tarifs jaunes|CbJobrXgL2q3UiAyLPfGEA-j|MF66FDAN
id_2874|jindun@lajavaness.com|2020-03-25 09:11:47|JSP|text|qui contacter pour les c4|CbJobrXgL2q3UiAyLPfGEA-j|MF66FDAN
id_1011|jindun@lajavaness.com|2020-03-25 09:16:05|AD|text|quel est le numéro du support ?|EMScNPQzQn2DPRXoB9pBYE-a|admin
id_1012|jindun@lajavaness.com|2020-03-25 09:16:07|AD|text|quel est le numéro du dépannage ?|EMScNPQzQn2DPRXoB9pBYE-a|admin
id_1013|jindun@lajavaness.com|2020-03-25 09:16:11|AD|text|quel est le coincoin du dépannage ?|EMScNPQzQn2DPRXoB9pBYE-a|admin
id_1014|jindun@lajavaness.com|2020-03-25 09:16:12|AD|text|quel est le dépannage ?|EMScNPQzQn2DPRXoB9pBYE-a|admin
id_1015|jindun@lajavaness.com|2020-03-25 09:16:13|AD|text|quel est le n dépannage|EMScNPQzQn2DPRXoB9pBYE-a|admin
id_1016|jindun@lajavaness.com|2020-03-25 09:16:15|AD|text|quel est le n du dépannage ?|EMScNPQzQn2DPRXoB9pBYE-a|admin
id_1017|jindun@lajavaness.com|2020-03-25 09:16:16|AD|text|quel est le du dépannage ?|EMScNPQzQn2DPRXoB9pBYE-a|admin
id_1183|jindun@lajavaness.com|2020-03-25 09:16:55|RACCO|text|combien coûte une dépose de branchement aerien|C3HvOje0XNQH3JysDJigD5-g|A67174
id_1184|jindun@lajavaness.com|2020-03-25 09:16:58|RACCO|text|quel est le tarif pour une dépose de branchement?|C3HvOje0XNQH3JysDJigD5-g|A67174
id_1185|jindun@lajavaness.com|2020-03-25 09:17:02|RACCO|text|quelles sont les démarches pour une dépose de branchement?|C3HvOje0XNQH3JysDJigD5-g|A67174
id_1186|jindun@lajavaness.com|2020-03-25 09:17:06|RACCO|text|suppression de branhement|C3HvOje0XNQH3JysDJigD5-g|A67174
id_1187|jindun@lajavaness.com|2020-03-25 09:17:09|RACCO|text|suppression de branchement|C3HvOje0XNQH3JysDJigD5-g|A67174
id_3049|jindun@lajavaness.com|2020-03-25 09:18:35|RACCO|text|RACCORDEMENT|DlUcnDB5laNKoQkyYg1fgz-5|G52346
id_3050|jindun@lajavaness.com|2020-03-25 09:18:40|RACCO|text|longueur de raccordement|DlUcnDB5laNKoQkyYg1fgz-5|G52346
id_2137|jindun@lajavaness.com|2020-03-25 09:19:17|RACCO|text|cable 70al|2nRt4qrBK6FF4HM5w9bgE5-g|E85203
id_2138|jindun@lajavaness.com|2020-03-25 09:19:19|RACCO|text|cable de branchement|2nRt4qrBK6FF4HM5w9bgE5-g|E85203
id_2139|jindun@lajavaness.com|2020-03-25 09:19:21|RACCO|text|raccordement type2|2nRt4qrBK6FF4HM5w9bgE5-g|E85203
id_3194|jindun@lajavaness.com|2020-03-25 09:20:00|RACCO|text|QUEL EST LA TAILLE D UN COFFRET|3MCdRCP2MxrGBGPdzmMOmZ-5|I49254
id_3138|jindun@lajavaness.com|2020-03-25 09:20:02|RACCO|text|NUMERO DE TELEPHONE RACCORDEMENT|HboBJt2OmhI71bT04LBQll-5|E84072
id_2360|jindun@lajavaness.com|2020-03-25 09:20:27|RACCO|text|Qu'est ce qu'un droit d'eau dans le cadre d'une demande de production hydrolique ?|vJlodAaEE67MIeFxsuyD0-g|A21577
id_2361|jindun@lajavaness.com|2020-03-25 09:20:29|RACCO|text|qu'est-ce qu'un droit d'eau ? |vJlodAaEE67MIeFxsuyD0-g|A21577
id_3256|jindun@lajavaness.com|2020-03-25 09:20:50|RACCO|text|TVA réduite|JXUnRSqufQPDDWHHOvnY7g-o|J36255
id_3257|jindun@lajavaness.com|2020-03-25 09:20:52|RACCO|text|Une modification de branchement ouvre-t-elle droit à une TVA réduite ?|JXUnRSqufQPDDWHHOvnY7g-o|J36255
id_503|pierre@lajavaness.com|2020-03-25 09:22:59|RACCO|text|grille d etoilement|BPfuaYfODsJAQnRAJYed3L|D47374
id_504|pierre@lajavaness.com|2020-03-25 09:23:01|RACCO|text|u est ce que qu une grille d etoilement|BPfuaYfODsJAQnRAJYed3L|D47374
id_505|pierre@lajavaness.com|2020-03-25 09:23:02|RACCO|text|Quelle est la définition de Grille d'étoilement|BPfuaYfODsJAQnRAJYed3L|D47374
id_942|pierre@lajavaness.com|2020-03-25 09:23:12|RACCO|text|distance construction hta|K4tivDsvYQY1KZ85DQkZfK-5|H99846
id_943|pierre@lajavaness.com|2020-03-25 09:23:14|RACCO|text|Quelle est la distance minimale a respecter à proximité d'une ligne hta|K4tivDsvYQY1KZ85DQkZfK-5|H99846
id_903|pierre@lajavaness.com|2020-03-25 09:23:24|RACCO|text|qu'est ce qu'un branchement type 1|6C1J2h1OdDEFDjmuzkwAmM-5|B60149
id_904|pierre@lajavaness.com|2020-03-25 09:23:25|RACCO|text|qu'elle est la puissance d'un branchement|6C1J2h1OdDEFDjmuzkwAmM-5|B60149
id_905|pierre@lajavaness.com|2020-03-25 09:23:26|RACCO|text|quel delai pour un branchement|6C1J2h1OdDEFDjmuzkwAmM-5|B60149
id_906|pierre@lajavaness.com|2020-03-25 09:23:36|RACCO|text|dimension coffret encastré|6C1J2h1OdDEFDjmuzkwAmM-5|B60149
id_3071|pierre@lajavaness.com|2020-03-25 09:24:05|JSP|text|qu'est ce que la loi elan|20Tk51hqchr2QvBqsqfvsf-o|J36255
id_501|jindun@lajavaness.com|2020-03-25 09:24:08|JSP|text|FAUSSE COUPURE|BPfuaYfODsJAQnRAJYed3L|D47374
id_2906|pierre@lajavaness.com|2020-03-25 09:24:12|AD|text|quelles sont les coordonnées de la Cellule écoute client de lorraine ?|2KtM0bhs9uFExDHu9NIBC6-o|I71874
id_2543|pierre@lajavaness.com|2020-03-25 09:24:14|RACCO|text|QU EST CE  QU  UN TYPE 2 ,|7Bdim9N4PBC7pNBiTJtdwD-j|E15546
id_2544|pierre@lajavaness.com|2020-03-25 09:24:15|RACCO|text|QUELLE  LONGUEUR  MAXIMUN DOIT FAIRE  UN  BRANCHEMENT ,|7Bdim9N4PBC7pNBiTJtdwD-j|E15546
id_3277|pierre@lajavaness.com|2020-03-25 09:24:20|JSP|text|numero cpa 29|5215e9a3tRVHLV2tfdVVW2-o|A00870
id_3278|pierre@lajavaness.com|2020-03-25 09:24:22|JSP|text|cibe tri type 2|5215e9a3tRVHLV2tfdVVW2-o|A00870
id_2347|pierre@lajavaness.com|2020-03-25 09:24:24|RACCO|text|qu'est-ce qu'une ligne en sousplomb|1Qa6OVZjD18FyWbiw7lunv-a|igoffin
id_2348|pierre@lajavaness.com|2020-03-25 09:24:25|RACCO|text|qu'est-ce qu'une ligne en surplomb|1Qa6OVZjD18FyWbiw7lunv-a|igoffin
id_2349|pierre@lajavaness.com|2020-03-25 09:24:28|JSP|text|Quelle est la définition de DP|1Qa6OVZjD18FyWbiw7lunv-a|igoffin
id_1060|jindun@lajavaness.com|2020-03-25 09:24:28|RACCO|text|différence type 1  type 2|5tsxhTRekEZI8DfRYC4LDd-5|H35779
id_258|pierre@lajavaness.com|2020-03-25 09:24:30|RACCO|text|déf de aat|7GfT1GwUGUXFWFDZ3J7zjH|igoffin
id_1492|pierre@lajavaness.com|2020-03-25 09:24:35|RACCO|text|qu'elle est la hauteur des reseaux aérien|H29qSWemgRx9ffJd3HQkdX-g|E86701
id_2781|pierre@lajavaness.com|2020-03-25 09:24:37|AD|text|reclamation|7rV8SaTeAvITM28PtVKyw-5|LO7B9A5N
id_1151|pierre@lajavaness.com|2020-03-25 09:24:38|RACCO|text|raccordement complet|Kn2LkLX6RwJC946fcmKLk0-g|B20475
id_1152|pierre@lajavaness.com|2020-03-25 09:24:41|RACCO|text|distance pour type 2|Kn2LkLX6RwJC946fcmKLk0-g|B20475
id_2246|pierre@lajavaness.com|2020-03-25 09:24:42|RACCO|text|QUELLES SONT LES DIMENSONS D'UN COFFRET ?|1ceA6doORqa6mDdISHnZ8c-j|G54276
id_2247|pierre@lajavaness.com|2020-03-25 09:24:45|PHATIQUE|text|Merci Socrac !|1ceA6doORqa6mDdISHnZ8c-j|G54276
id_2248|pierre@lajavaness.com|2020-03-25 09:25:31|RACCO|text|Quelles sont les dimensions d'un panneau de comptage ?|1ceA6doORqa6mDdISHnZ8c-j|G54276
